,date,sp500,momentum,value
0,2015-01-02,,-0.11,-0.18
1,2015-01-05,-1.827811,1.02,-1.76
2,2015-01-06,-0.889347,0.41,-0.82
3,2015-01-07,1.162984,1.07,1.39
4,2015-01-08,1.788828,0.31,1.93
5,2015-01-09,-0.840381,0.28,-0.77
6,2015-01-12,-0.809369,0.77,-0.79
7,2015-01-13,-0.257856,0.46,-0.12
8,2015-01-14,-0.581307,0.06,-0.58
9,2015-01-15,-0.924788,0.24,-0.9
10,2015-01-16,1.34242,-0.39,1.23
11,2015-01-20,0.154995,0.64,0.38
12,2015-01-21,0.473162,-0.6,0.29
13,2015-01-22,1.526972,0.7,1.45
14,2015-01-23,-0.549152,0.38,-0.46
15,2015-01-26,0.256846,-0.48,0.13
16,2015-01-27,-1.338786,-0.76,-1.66
17,2015-01-28,-1.349561,1.34,-0.82
18,2015-01-29,0.953469,0.8,1.28
19,2015-01-30,-1.299197,-1.99,-1.24
20,2015-02-02,1.296246,-1.16,1.39
21,2015-02-03,1.443949,-1.52,1.4
22,2015-02-04,-0.415605,1.01,-0.37
23,2015-02-05,1.029141,-0.7,0.99
24,2015-02-06,-0.341817,-0.61,-0.31
25,2015-02-09,-0.424719,-0.9,-0.4
26,2015-02-10,1.067556,1.54,1.1
27,2015-02-11,-0.002903,0.34,0.2
28,2015-02-12,0.964451,-0.45,0.79
29,2015-02-13,0.407474,-1.17,0.45
30,2015-02-17,0.159757,-0.02,0.18
31,2015-02-18,-0.031431,0.98,0.13
32,2015-02-19,-0.106206,-0.2,-0.02
33,2015-02-20,0.612653,0.58,0.63
34,2015-02-23,-0.030334,0.91,0.14
35,2015-02-24,0.275877,-0.3,0.17
36,2015-02-25,-0.076572,-0.94,-0.2
37,2015-02-26,-0.147603,0.57,-0.12
38,2015-02-27,-0.29563,-0.29,-0.32
39,2015-03-02,0.612492,0.57,0.56
40,2015-03-03,-0.453854,-0.29,-0.43
41,2015-03-04,-0.43885,0.19,-0.47
42,2015-03-05,0.119608,0.15,-0.02
43,2015-03-06,-1.417395,-0.18,-1.37
44,2015-03-09,0.394442,0.71,0.33
45,2015-03-10,-1.696133,0.46,-1.72
46,2015-03-11,-0.191768,-0.23,-0.34
47,2015-03-12,1.260144,0.6,1.13
48,2015-03-13,-0.607471,0.56,-0.54
49,2015-03-16,1.353367,0.69,1.24
50,2015-03-17,-0.332017,0.3,-0.16
51,2015-03-18,1.215842,-0.81,1.14
52,2015-03-19,-0.487258,1.36,-0.39
53,2015-03-20,0.901275,-0.74,0.92
54,2015-03-23,-0.174573,-0.63,-0.24
55,2015-03-24,-0.613942,-0.09,-0.45
56,2015-03-25,-1.455891,-1.6,-1.59
57,2015-03-26,-0.23775,0.05,-0.08
58,2015-03-27,0.236856,1.28,0.2
59,2015-03-30,1.223664,0.39,1.09
60,2015-03-31,-0.879577,-0.38,-0.79
61,2015-04-01,-0.396537,-0.43,-0.35
62,2015-04-02,0.352967,-0.4,0.39
63,2015-04-06,0.660882,-1.0,0.84
64,2015-04-07,-0.20619,-0.19,-0.24
65,2015-04-08,0.268253,1.29,0.42
66,2015-04-09,0.445748,-0.5,0.39
67,2015-04-10,0.520287,0.05,0.4
68,2015-04-13,-0.458128,0.24,-0.51
69,2015-04-14,0.162976,-1.08,0.04
70,2015-04-15,0.51482,-1.41,0.61
71,2015-04-16,-0.077844,0.32,-0.18
72,2015-04-17,-1.131125,-0.15,-1.21
73,2015-04-20,0.923513,0.37,1.17
74,2015-04-21,-0.148061,1.1,-0.03
75,2015-04-22,0.508748,-0.23,0.55
76,2015-04-23,0.235772,-0.25,0.35
77,2015-04-24,0.22528,0.24,0.67
78,2015-04-27,-0.414131,-1.43,-0.3
79,2015-04-28,0.276923,-0.86,0.15
80,2015-04-29,-0.374034,-1.14,-0.53
81,2015-04-30,-1.012891,-1.1,-1.08
82,2015-05-01,1.0923,0.96,1.25
83,2015-05-04,0.294075,0.17,0.1
84,2015-05-05,-1.183738,-0.46,-1.31
85,2015-05-06,-0.445573,0.56,-0.43
86,2015-05-07,0.377381,1.0,0.37
87,2015-05-08,1.34579,0.05,1.23
88,2015-05-11,-0.508956,0.42,-0.41
89,2015-05-12,-0.294964,-0.25,-0.3
90,2015-05-13,-0.030495,-0.2,-0.04
91,2015-05-14,1.077929,0.84,1.08
92,2015-05-15,0.076841,-0.14,0.11
93,2015-05-18,0.304795,0.81,0.29
94,2015-05-19,-0.064337,0.83,-0.32
95,2015-05-20,-0.093052,-0.16,-0.03
96,2015-05-21,0.233787,-0.45,0.4
97,2015-05-22,-0.223389,0.41,-0.22
98,2015-05-26,-1.028198,0.4,-1.03
99,2015-05-27,0.916264,0.82,0.96
100,2015-05-28,-0.126676,0.13,-0.25
101,2015-05-29,-0.631847,0.14,-0.63
102,2015-06-01,0.205946,0.37,0.2
103,2015-06-02,-0.10086,-0.87,-0.08
104,2015-06-03,0.211887,0.47,0.3
105,2015-06-04,-0.862317,0.12,-0.84
106,2015-06-05,-0.143618,0.08,-0.35
107,2015-06-08,-0.647451,0.0,-0.63
