index,AMD,CERN,COST,DELL,GPS,INTC,MMM,cash
2004-01-09 00:00:00+00:00,6961.92,21017.078750,7282.266152,21264.55188,7091.08002,21259.33389,21316.129606,-6192.360298
2004-01-12 00:00:00+00:00,18198.58,18071.250000,17675.836401,10804.31924,10685.411865,17872.47748,10882.026400,-3329.289887
2004-01-13 00:00:00+00:00,12060.86,11942.246250,12838.477446,16078.9038,16272.139,12465.392511,12579.135758,4708.039735
2004-01-14 00:00:00+00:00,13102.4,15534.281250,14447.42264,15414.4508,15666.440185,14884.06962,13454.542620,-2749.47003
2004-01-15 00:00:00+00:00,15518.4,14547.050000,14164.03968,14407.48813,14926.122619,14422.385864,13929.159049,-2462.919316
2004-01-16 00:00:00+00:00,15670.6,14817.687500,14164.03968,14359.58256,13890.351779,14251.925808,14507.594970,-715.717096
2004-01-20 00:00:00+00:00,-4292.859753,15336.577500,20108.70899,21062.9447,13502.761104,23296.388976,10400.667618,942.775442
2004-01-21 00:00:00+00:00,-842.7,14853.500000,19289.644218,19805.1839,13391.920476,21518.631211,13202.207280,-1046.588289
2004-01-22 00:00:00+00:00,3950.08,14428.420000,17694.303165,19134.15462,13693.963914,20512.608208,11602.802421,-1422.260726
2004-01-23 00:00:00+00:00,1654.56,14405.220000,18760.4503,18351.53988,13226.224284,20404.512792,11765.440896,1036.076672
2004-01-26 00:00:00+00:00,2854.8,14921.786250,18349.442136,19088.86969,13276.590012,20414.24828,11961.971518,-235.510069
2004-01-27 00:00:00+00:00,17645.04,15039.425000,12178.871976,12597.26264,16020.550942,17850.136488,10066.813804,-1930.542573
2004-01-28 00:00:00+00:00,9914.4,14485.353750,12952.881909,15835.17768,17390.082623,14929.8097,8912.125378,3655.056848
2004-01-29 00:00:00+00:00,10716.4,13482.207500,14774.666282,14908.67901,18347.367866,15081.054759,7610.117376,2221.717535
2004-01-30 00:00:00+00:00,13255.12,14048.300000,14320.202371,14071.467,19820.84076,15659.955852,7746.363788,-1724.389449
2004-02-02 00:00:00+00:00,11682.72,13934.253750,13717.68066,14267.2596,19852.499458,15535.1413,7989.511063,300.339126
2004-02-03 00:00:00+00:00,12095.0,13997.312500,13861.847482,14572.07037,19852.992726,16134.471054,8081.697952,3.345644
2004-02-04 00:00:00+00:00,19061.37,4690.900000,13628.3985,28136.56704,9771.394039,10604.723,24532.904578,-14273.942153
2004-02-05 00:00:00+00:00,31103.15,10795.942500,13371.968733,25750.08298,-5314.13127,3508.5136,15297.902599,3178.365505
2004-02-06 00:00:00+00:00,27041.4,6504.451250,13510.26942,24001.2726,-2617.601958,4888.466208,17185.209120,10238.740573
2004-02-09 00:00:00+00:00,26219.46,3170.356250,15400.217905,34339.5283,1302.328272,9432.332811,19528.402992,-8673.486276
2004-02-10 00:00:00+00:00,4770.78,1594.705000,13991.5106,35895.6633,-641.3238,11728.48502,32925.144458,2555.472082
2004-02-11 00:00:00+00:00,-2403.63,-803.700000,6949.602328,33567.7412,7514.1882,38134.131353,20144.544150,361.766031
2004-02-12 00:00:00+00:00,1146.84,5316.165000,-3335.517699,25654.4284,17836.05815,32216.73169,19314.056927,4601.13465
2004-02-13 00:00:00+00:00,1150.38,9206.450000,5778.085531,10862.137,22409.66811,22244.072122,17872.101300,12930.771304
2004-02-17 00:00:00+00:00,1194.4,11429.600000,1262.422056,13163.4619,29894.097176,24544.988282,16514.347850,5668.621398
2004-02-18 00:00:00+00:00,6624.9,13987.490000,5811.884656,9973.65268,24898.82952,21753.78163,17828.407260,2690.274079
2004-02-19 00:00:00+00:00,11062.83,15897.542500,15514.08716,8304.0166,19213.41294,22212.910122,19544.669410,-9626.935873
2004-02-20 00:00:00+00:00,10123.15,15549.668750,10758.766938,7501.10652,11007.76528,24075.59199,22266.769032,1025.639639
2004-02-23 00:00:00+00:00,8981.58,15078.708750,12967.186386,6938.22415,12382.352189,22975.516707,21990.211880,-318.14406
2004-02-24 00:00:00+00:00,9260.61,15225.762500,12640.659199,6256.34964,14139.226368,23390.774918,20295.172560,-236.716018
2004-02-25 00:00:00+00:00,9728.4,15466.522500,12442.37786,6474.76677,14365.86944,23336.46765,21124.952068,-547.506965
2004-02-26 00:00:00+00:00,10143.7,3947.422500,10293.31854,18554.55552,8766.678453,24582.387978,26832.913122,-487.971116
2004-02-27 00:00:00+00:00,8460.0,8347.740000,8011.72211,16802.68268,-1091.942592,27884.885378,30996.849691,2475.819593
2004-03-01 00:00:00+00:00,7564.12,7898.700000,8552.314041,16619.44041,3773.108004,27808.82631,33369.602568,-1988.203864
2004-03-02 00:00:00+00:00,5792.84,4029.862500,-4235.72727,15610.16394,19192.894074,28093.32078,37640.305920,-2705.813101
2004-03-03 00:00:00+00:00,4762.8,1991.625000,-2043.197227,13748.72928,11994.454744,27732.091689,45063.162600,94.81048
2004-03-04 00:00:00+00:00,4524.66,993.437500,-1045.77761,14806.32384,15745.760616,28662.302632,43666.199775,-3008.613002
2004-03-05 00:00:00+00:00,2257.92,529.883750,19040.809986,16601.97504,-7554.77985,27433.972779,44129.653974,808.364358
2004-03-08 00:00:00+00:00,-1073.1,731.250000,15582.2429,17263.72648,-3648.910923,26147.924992,43340.913760,2377.792917
2004-03-09 00:00:00+00:00,523.08,687.522500,10285.072304,19662.46988,2108.125162,26617.299412,42213.539332,-777.365449
2004-03-10 00:00:00+00:00,-259.74,635.320000,13064.14935,19639.40187,1140.929131,26019.9602,41495.782335,-1729.50657
2004-03-11 00:00:00+00:00,129.96,627.856250,12610.713148,19242.633,-236.336016,25979.446801,42216.092256,-965.908745
2004-03-12 00:00:00+00:00,-60.0,653.918750,12499.88279,18319.34289,447.440552,26706.71318,42646.282340,-37.177859
2004-03-15 00:00:00+00:00,-29.2,8077.663750,9829.71693,13172.03615,2189.21703,26733.507662,44758.639016,-5240.674459
2004-03-16 00:00:00+00:00,14.92,6720.110000,6280.206168,10607.99392,4866.797859,26752.88448,48652.939602,-2219.704762
2004-03-17 00:00:00+00:00,15.35,13176.925000,15414.020778,6861.32001,6116.9131,28656.573015,41706.729876,-8928.466071
2004-03-18 00:00:00+00:00,0.0,38142.650000,26720.154334,-905.47884,16673.928402,24420.052825,27956.314406,-30500.369528
