date,GE,JPM,MSFT,PG,portfolio
2015-01-02,1.0,1.0,1.0,1.0,1.0
2015-01-05,0.963288,0.93791,0.981394,0.990491,0.968271
2015-01-06,0.92099,0.887662,0.952524,0.981424,0.935499
2015-01-07,0.921788,0.890542,0.977331,0.991818,0.945125
2015-01-08,0.944932,0.932789,1.0355,1.014595,0.981714
2015-01-09,0.917797,0.899184,1.018392,0.995798,0.957401
2015-01-12,0.913807,0.882861,0.993157,0.988501,0.94427
2015-01-13,0.90423,0.883181,0.982678,0.996904,0.941419
2015-01-14,0.897845,0.818211,0.965569,0.990049,0.917192
2015-01-15,0.881883,0.759962,0.945252,0.987174,0.892159
2015-01-16,0.882682,0.790046,0.977759,1.017912,0.915668
2015-01-20,0.903432,0.783005,0.984175,1.016586,0.920302
2015-01-21,0.918595,0.788766,0.964072,1.006413,0.918392
2015-01-22,0.937749,0.843175,1.015825,1.026095,0.955109
2015-01-23,0.953711,0.81405,1.017964,0.992039,0.943715
2015-01-26,0.96249,0.816931,1.010693,0.980982,0.942222
2015-01-27,0.94573,0.798688,0.824636,0.912649,0.871521
2015-01-28,0.902634,0.75228,0.761762,0.883016,0.825715
2015-01-29,0.921788,0.781725,0.796835,0.894516,0.849853
2015-01-30,0.906624,0.740438,0.727973,0.863998,0.810315
2015-02-02,0.932163,0.775324,0.765612,0.882353,0.839763
2015-02-03,0.952913,0.81533,0.779299,0.900708,0.863118
2015-02-04,0.928172,0.804449,0.789564,0.897169,0.856245
2015-02-05,0.955307,0.816931,0.815654,0.917293,0.877674
2015-02-06,0.956903,0.852776,0.813944,0.893189,0.880974
2015-02-09,0.96648,0.850536,0.811805,0.880805,0.879077
2015-02-10,0.972865,0.871019,0.82207,0.888324,0.890341
2015-02-11,0.976856,0.868139,0.81266,0.893852,0.889513
2015-02-12,0.986433,0.906545,0.843028,0.902477,0.911577
2015-02-13,1.007183,0.909746,0.87639,0.899602,0.9253
2015-02-17,1.008779,0.923508,0.863986,0.890535,0.923672
2015-02-18,1.015164,0.900144,0.861848,0.907563,0.923139
2015-02-19,0.99601,0.895663,0.860565,0.884343,0.911252
2015-02-20,1.011971,0.913906,0.875749,0.876824,0.921664
2015-02-23,1.008779,0.899504,0.888366,0.888324,0.923462
2015-02-24,1.026337,0.946551,0.8858,0.890756,0.939541
2015-02-25,1.067837,0.956793,0.881523,0.889872,0.950696
2015-02-26,1.066241,0.970875,0.884303,0.883459,0.952895
2015-02-27,1.074222,0.961274,0.875535,0.882574,0.949901
2015-03-02,1.083799,0.976956,0.876818,0.888766,0.957987
2015-03-03,1.063847,0.983357,0.851155,0.883238,0.946759
