date,GE,JPM,MSFT,PG
2015-01-02,,,,
2015-01-05,-0.018356,-0.031045,-0.009303,-0.004755
2015-01-06,-0.021545,-0.025929,-0.014571,-0.004555
2015-01-07,0.000415,0.001526,0.012705,0.005246
2015-01-08,0.012043,0.022346,0.029418,0.011436
2015-01-09,-0.013952,-0.017387,-0.008405,-0.00933
2015-01-12,-0.002081,-0.008595,-0.012503,-0.003657
2015-01-13,-0.005004,0.00017,-0.005258,0.004226
2015-01-14,-0.003353,-0.0345,-0.008629,-0.003433
2015-01-15,-0.00841,-0.032037,-0.010336,-0.001445
2015-01-16,0.000424,0.017094,0.016711,0.015469
2015-01-20,0.011022,-0.003933,0.003244,-0.000658
2015-01-21,0.007966,0.003231,-0.010131,-0.005044
2015-01-22,0.009983,0.030417,0.02635,0.009809
2015-01-23,0.008237,-0.015801,0.001061,-0.016809
2015-01-26,0.004493,0.001588,-0.003603,-0.005551
2015-01-27,-0.00854,-0.010041,-0.092534,-0.034494
2015-01-28,-0.022149,-0.025801,-0.034459,-0.015493
2015-01-29,0.010067,0.016804,0.019908,0.006107
2015-01-30,-0.00789,-0.023172,-0.038324,-0.016108
2015-02-02,0.013395,0.020044,0.021782,0.009847
2015-02-03,0.010739,0.022535,0.007752,0.009751
2015-02-04,-0.012669,-0.005994,0.005769,-0.001862
2015-02-05,0.014073,0.006917,0.014579,0.010607
2015-02-06,0.000816,0.019729,-0.000942,-0.012572
2015-02-09,0.004894,-0.001209,-0.001179,-0.006541
2015-02-10,0.003247,0.011069,0.005666,0.003998
2015-02-11,0.002023,-0.00154,-0.005164,0.002928
2015-02-12,0.004845,0.020559,0.016753,0.004554
2015-02-13,0.010446,0.001679,0.018102,-0.001511
2015-02-17,0.000795,0.007206,-0.00661,-0.004773
2015-02-18,0.003178,-0.012146,-0.001147,0.009007
2015-02-19,-0.009505,-0.002358,-0.000689,-0.012173
2015-02-20,0.007997,0.009624,0.008161,-0.00399
2015-02-23,-0.001587,-0.007525,0.006727,0.006127
2015-02-24,0.008741,0.024768,-0.001359,0.001288
2015-02-25,0.020481,0.005261,-0.002268,-0.000468
2015-02-26,-0.000772,0.007197,0.001478,-0.003393
2015-02-27,0.003862,-0.004872,-0.004653,-0.00047
2015-03-02,0.004617,0.007996,0.000684,0.003289
2015-03-03,-0.009575,0.003238,-0.013674,-0.002927
2015-03-04,-0.007734,0.002582,-0.005199,-0.009512
2015-03-05,0.006235,-0.002092,0.001277,0.00332
2015-03-06,-0.015492,-0.017903,-0.017397,-0.023278
2015-03-09,0.008655,0.010018,0.011568,0.005202
2015-03-10,-0.018331,-0.025041,-0.019137,-0.018654
2015-03-11,0.000795,0.00467,-0.00119,-0.00184
2015-03-12,0.008337,0.018758,-0.022868,0.008601
2015-03-13,-0.014173,-0.006029,0.008776,-0.003167
2015-03-16,0.016374,0.013934,0.00435,0.021141
2015-03-17,-0.005501,-0.00388,0.003248,-0.008497
2015-03-18,0.013038,0.002272,0.019307,0.010863
2015-03-19,-0.01209,-0.008907,-0.005059,-0.004418
2015-03-20,0.002764,0.008987,0.014071,0.016311
2015-03-23,0.002756,-0.009879,-0.000583,0.001416
2015-03-24,-0.007852,-0.011122,0.00105,-0.011077
2015-03-25,-0.014246,-0.014059,-0.033566,-0.010844
2015-03-26,-0.004416,-0.001174,-0.00603,-0.01036
2015-03-27,0.002419,0.000168,-0.005824,0.001948
2015-03-30,0.010459,0.023678,-0.000244,0.004981
2015-03-31,-0.012341,-0.006234,-0.007446,-0.009429
2015-04-01,0.001209,-0.010399,0.001599,0.004638
2015-04-02,0.004026,0.009508,-0.01056,0.001336
2015-04-06,0.009623,-0.000826,0.031149,0.0074
2015-04-07,-0.006354,0.006284,-0.000361,-0.007828
2015-04-08,-0.0004,0.003287,-0.002649,0.004612
2015-04-09,0.028788,0.00688,0.001449,0.00145
2015-04-10,0.108045,0.003742,0.005786,0.00555
2015-04-13,-0.030866,0.005997,0.000959,0.00096
2015-04-14,0.003619,0.015628,-0.002634,0.002038
2015-04-15,-0.009737,0.01856,0.014526,-0.001077
2015-04-16,-0.006555,-0.00623,-0.002248,-0.00012
2015-04-17,-0.0011,-0.015201,-0.012927,-0.011617
2015-04-20,-0.00844,0.006365,0.030998,0.00412
